address,moniker,commission,rank,token,votingPower,timestamp
injvaloper1zaahxq8my6nqvp64flacugxdyxp6tmm8st3hrz,HashQuark,0.1,51,6,0,1765152000000
injvaloper1xwvvcg6j2gvfsfg5h9cgp57057n9mm0kryfcj2,testnode,0.1,51,5,0,1765152000000
injvaloper1nxahyr4v2hzemdfwxv90djs9vwgpenc2zzxelk,MCF,0.1,51,5,0,1765152000000
injvaloper1m5lqvd8kr2s7lx3j2c7cfa33hxrqa3cth9pd56,Tan,0.1,51,5,0,1765152000000
injvaloper13aanu4acwtjh68a6ec5gm200nx6zqcyqz8r0jq,CosmosPug ,0.05,51,4,0,1765152000000
injvaloper1get4y2tqyp047ftym76c4avl4remldtrrj9knt,POSTCAPITALIST,0.08,51,2,0,1765152000000
injvaloper1nc9ppgynj4fxqlsxq62sh4zfvf59la6rkjy734,Node  Validator,0.1,51,2,0,1765152000000
injvaloper1n2q9ke92yjyc3uf6084d9jssuu9urj608cc2hp,nysanetwork,0.07,51,2,0,1765152000000
injvaloper13p7suhhxrd6rrj6kka39sadklartjpekm9hes8,Twinstake,0.08,51,2,0,1765152000000
injvaloper197m0n2yxtfhz0uv4ehhddqrsjeg6xsp250nh0y,Please Redelegate,0.05,51,2,0,1765152000000
injvaloper1njnkzz20mlmxff9vs42wgx22lcqtmsqjxr46ua,Cosmology,0.05,51,2,0,1765152000000
injvaloper18lftv08vsplm39ht2xysp7wsauch03nwfqckxh,moonshot  100 MEV Return to Stakers,0.05,51,2,0,1765152000000
injvaloper1lshp7qy8mzlc3fpqjservcxfwg3j52a2cv26n2,Alessandro Mazza,0.1,51,2,0,1765152000000
