address,moniker,commission,rank,token,votingPower,timestamp
shentuvaloper1rlwftpht32qvwcra6my36azth26sa7gdl3cgdj,Perfect Stake ,0.2,97,124801,0.002738,1765152000000
shentuvaloper1vrykh69jj7z04y3dprcr25fwnh05qrvkjm0a7q,instupendo,0.2,98,120851,0.002651,1765152000000
shentuvaloper1cyasdhcahc60sawtvecjwyumh3uh98mzxm4kr8,Alex Bambarello Validator,0.2,99,118406,0.002597,1765152000000
shentuvaloper1l08gcs8melp893ztdsfdv6ag2phha2wwjqmg7q,amadey,0.2,100,117751,0.002583,1765152000000
shentuvaloper1zwy37zs8pxepmrmtjexta7f9e6k9w70cn3dqcu,cuconoid,0.2,101,116701,0.00256,1765152000000
shentuvaloper1e4slnwwa7tr0ywmd87tp3f6574tp5jlepvy2kc,riobo,0.2,102,115801,0.00254,1765152000000
shentuvaloper19lgwcu692dtrpjja67j4tdp5ye8vgd3wfd6s4w,CryptoNet,0.2,103,106867,0.002344,1765152000000
shentuvaloper1sjq3sxz55eqs4jfvmgaw4p5j5xzwwdwv8puccu,Interstellr,0,104,100613,0.002207,1765152000000
shentuvaloper1qxrnw3psx4kpgfgmp2ll2cervx7u5lpahenzal,OWALLET,0.01,105,100127,0.002196,1765152000000
shentuvaloper18pjnyg3z9p23aeszdqms8jgravtra6wyl6z65x,BellamyBlack,0.2,106,96001,0.002106,1765152000000
shentuvaloper15n0g5cg3pxngluknaytsskxpup9q9zge0ntvwh,Skalp4BLOCKTEAM,0.2,107,91201,0.002001,1765152000000
shentuvaloper1sdh2k0fsp0kul7mmefzxflesalz4gel4gz32hr,wellteam,0.2,108,89600,0.001966,1765152000000
shentuvaloper1wgp8nuwyfrn83stlgrqmcfmrjxg8lpjrxc2930,YTWOFUND,0.075,109,88789,0.001948,1765152000000
shentuvaloper1p6jl8rhc2v04f9ftwnf35gwcz8utd9w56r37q2,masterctk,0.1,110,70491,0.001546,1765152000000
shentuvaloper1k7sjdr27evwgj36u08uprtfmjndz0mqlmfq898,Node39TOP,0.2,111,70059,0.001537,1765152000000
shentuvaloper1ejqt89rvmjmv06d2g0z6eucr0mgv32c2pvut6t,aynelis,0.25,112,62401,0.001369,1765152000000
shentuvaloper18fa7lgnhr9v27vxqgxz5aa7r8mzmhe6v2wet49,ramuchitech,0.2,113,51086,0.001121,1765152000000
shentuvaloper14vzc8a8ed53yu408fxg9cunkktt84kmv37h5x8,StakeBowlNode,1,114,50023,0.001097,1765152000000
shentuvaloper1czjjrvwe6ue32s0aqkazlsg6rkk49cny3fa34l,SolidOne,0.12,115,50022,0.001097,1765152000000
shentuvaloper1kvawknflw8hhejja3n49ssg0986az8wd8dsdjp,Anchor Staking,0.2,116,37300,0.000818,1765152000000
shentuvaloper1hdcfct8yvc4069tku92txtjz0rf50dsudy8kal,StandardML,0.17,116,27214,0.000597,1765152000000
shentuvaloper1td0vexr62t97pd6zdg0uarde8eljjx0zfffa70,NodeSphere,0.19,116,25001,0.000548,1765152000000
shentuvaloper1tnhyu9s76egrnpj344j35hd8advpvcv7cnzck8,ChainTools,0.2,116,20233,0.000444,1765152000000
